IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.250.131.37,443,443,true,SIN,Asia Pacific,Singapore,50,27.38
20.39.191.103,443,443,true,ICN,Asia Pacific,Seoul,101,23.45
47.238.222.172,443,443,true,FRA,Europe,Frankfurt,14,20.86
16.162.37.167,443,443,true,HKG,Asia Pacific,Hong Kong,113,17.76
77.90.8.159,443,443,true,FRA,Europe,Frankfurt,185,15.08
91.239.148.100,443,443,true,FRA,Europe,Frankfurt,219,14.11
4.255.56.137,443,443,true,IAD,North America,Ashburn,249,13.69
13.208.164.103,443,443,true,KIX,Asia Pacific,Osaka,86,12.25
54.179.184.9,443,0,true,SIN,Asia Pacific,Singapore,53,11.36
75.2.32.4,443,443,true,IAD,North America,Ashburn,180,11.19
172.233.129.146,443,443,true,LAX,North America,Los Angeles,156,11.13
168.138.184.172,443,0,true,SIN,Asia Pacific,Singapore,225,11.02
142.93.233.37,443,443,true,AMS,Europe,Amsterdam,261,10.46
185.140.12.239,443,443,true,FRA,Europe,Frankfurt,168,9.94
210.186.12.244,443,443,true,KUL,Asia Pacific,Kuala Lumpur,277,8.93
129.154.50.159,443,443,true,ICN,Asia Pacific,Seoul,168,8.71
104.168.107.230,443,443,true,YYZ,North America,Toronto,236,8.09
80.76.32.165,443,443,true,FRA,Europe,Frankfurt,205,7.69
80.76.33.44,443,443,true,FRA,Europe,Frankfurt,204,7.68
91.239.148.31,443,443,true,FRA,Europe,Frankfurt,204,7.62
91.239.148.10,443,443,true,FRA,Europe,Frankfurt,229,7.54
146.56.114.219,443,443,true,SIN,Asia Pacific,Singapore,240,7.51
212.113.106.225,443,443,true,AMS,Europe,Amsterdam,192,7.30
150.230.99.153,443,443,true,SIN,Asia Pacific,Singapore,228,7.23
150.230.62.27,443,80,false,KIX,Asia Pacific,Osaka,180,7.07
3.18.225.231,443,443,true,ORD,North America,Chicago,202,7.06
159.138.131.240,443,443,true,HKG,Asia Pacific,Hong Kong,16,6.93
34.22.100.72,443,443,true,ICN,Asia Pacific,Seoul,212,6.60
158.180.80.103,443,443,true,SIN,Asia Pacific,Singapore,265,6.57
107.173.250.62,443,443,true,BUF,North America,Buffalo,247,6.55
144.24.78.162,443,443,true,ICN,Asia Pacific,Seoul,225,6.54
50.114.11.19,443,443,true,YVR,North America,Vancouver,181,6.54
99.83.209.185,443,443,true,IAD,North America,Ashburn,175,6.51
140.238.47.112,443,443,true,SIN,Asia Pacific,Singapore,282,6.42
158.180.68.196,443,443,true,SIN,Asia Pacific,Singapore,232,6.22
130.162.132.220,443,443,true,SIN,Asia Pacific,Singapore,231,6.04
34.65.219.21,443,443,true,FRA,Europe,Frankfurt,253,5.99
34.141.42.112,443,443,true,FRA,Europe,Frankfurt,227,5.66
38.180.30.217,443,443,true,LHR,Europe,London,210,5.58
172.245.19.17,443,443,true,ATL,North America,Atlanta,258,5.57
34.116.204.154,443,443,true,FRA,Europe,Frankfurt,259,5.52
185.172.131.49,443,443,true,FRA,Europe,Frankfurt,248,5.49
34.34.186.205,443,443,true,CDG,Europe,Paris,255,5.31
193.123.242.213,443,443,true,SIN,Asia Pacific,Singapore,267,5.30
34.116.171.221,443,443,true,FRA,Europe,Frankfurt,268,5.16
147.45.74.107,443,443,true,ARN,Europe,Stockholm,234,5.16
35.246.195.54,443,443,true,FRA,Europe,Frankfurt,247,5.10
13.87.92.42,443,443,true,LHR,Europe,London,293,5.01
34.118.6.115,443,443,true,FRA,Europe,Frankfurt,250,5.01
77.91.70.65,443,443,true,ARN,Europe,Stockholm,225,4.97
146.56.116.204,443,443,true,SIN,Asia Pacific,Singapore,239,4.97
91.239.148.133,443,443,true,FRA,Europe,Frankfurt,232,4.86
35.204.225.94,443,443,true,FRA,Europe,Frankfurt,253,4.72
158.101.67.199,443,443,true,SIN,Asia Pacific,Singapore,249,4.68
88.119.161.187,443,443,true,WAW,Europe,Warsaw,200,4.58
38.180.105.164,443,443,true,IST,Europe,Istanbul,297,4.53
152.67.231.219,443,443,true,SJC,North America,San Jose,157,4.46
34.154.222.58,443,443,true,FRA,Europe,Frankfurt,239,4.43
91.228.152.113,443,443,true,FRA,Europe,Frankfurt,261,4.16
132.226.13.236,443,443,true,SIN,Asia Pacific,Singapore,263,4.16
34.141.146.72,443,443,true,FRA,Europe,Frankfurt,272,4.07
130.61.193.3,443,443,true,FRA,Europe,Frankfurt,267,3.86
91.239.148.126,443,443,true,FRA,Europe,Frankfurt,219,3.82
69.46.7.74,443,443,true,TPA,North America,Tampa,218,3.76
34.154.39.197,443,443,true,FRA,Europe,Frankfurt,218,3.70
34.118.12.204,443,443,true,FRA,Europe,Frankfurt,254,3.44
89.58.0.38,443,443,true,FRA,Europe,Frankfurt,207,3.43
45.147.51.230,443,443,true,FRA,Europe,Frankfurt,278,3.43
54.73.170.6,443,443,true,DUB,Europe,Dublin,208,3.43
35.204.71.150,443,443,true,FRA,Europe,Frankfurt,224,3.27
23.162.136.182,443,443,true,LHR,Europe,London,255,3.16
146.56.185.55,443,443,true,SIN,Asia Pacific,Singapore,259,3.11
34.91.133.138,443,443,true,FRA,Europe,Frankfurt,208,3.10
213.199.49.245,443,443,true,DUS,Europe,Düsseldorf,263,2.99
34.154.134.18,443,443,true,FRA,Europe,Frankfurt,205,2.97
146.70.175.168,443,443,true,AMS,Europe,Amsterdam,216,2.95
188.132.183.162,443,443,true,FRA,Europe,Frankfurt,264,2.95
158.101.216.253,443,443,true,FRA,Europe,Frankfurt,349,2.94
34.65.38.18,443,443,true,FRA,Europe,Frankfurt,201,2.90
77.68.67.169,443,443,true,LHR,Europe,London,263,2.74
34.154.169.43,443,443,true,FRA,Europe,Frankfurt,227,2.73
141.148.229.106,443,443,true,AMS,Europe,Amsterdam,266,2.73
34.141.188.150,443,443,true,FRA,Europe,Frankfurt,225,2.71
47.90.141.204,443,443,true,LAX,North America,Los Angeles,239,2.70
34.159.30.28,443,443,true,FRA,Europe,Frankfurt,234,2.65
95.164.248.233,443,443,true,MAD,Europe,Madrid,237,2.65
34.141.57.221,443,443,true,FRA,Europe,Frankfurt,217,2.56
146.70.175.183,443,443,true,AMS,Europe,Amsterdam,188,2.56
34.147.30.126,443,443,true,FRA,Europe,Frankfurt,255,2.55
34.141.46.17,443,443,true,FRA,Europe,Frankfurt,255,2.53
34.118.118.64,443,443,true,FRA,Europe,Frankfurt,224,2.53
95.164.248.94,443,443,true,MAD,Europe,Madrid,250,2.53
35.198.133.80,443,443,true,FRA,Europe,Frankfurt,216,2.53
34.154.125.224,443,443,true,FRA,Europe,Frankfurt,239,2.51
51.79.254.182,443,443,true,SIN,Asia Pacific,Singapore,237,2.51
34.65.12.97,443,443,true,FRA,Europe,Frankfurt,239,2.47
35.204.137.100,443,443,true,FRA,Europe,Frankfurt,234,2.46
34.253.175.38,443,443,true,DUB,Europe,Dublin,206,2.44
138.2.174.79,443,443,true,FRA,Europe,Frankfurt,236,2.41
141.147.183.101,443,443,true,SIN,Asia Pacific,Singapore,233,2.39
34.118.31.219,443,443,true,FRA,Europe,Frankfurt,273,2.36
18.197.97.165,443,443,true,FRA,Europe,Frankfurt,166,2.28
206.189.129.187,443,443,true,MAA,Asia Pacific,Chennai,295,2.26
146.70.175.163,443,443,true,AMS,Europe,Amsterdam,193,2.24
158.101.209.178,443,443,true,FRA,Europe,Frankfurt,244,2.23
34.116.216.165,443,443,true,FRA,Europe,Frankfurt,242,2.22
16.162.37.123,443,443,true,HKG,Asia Pacific,Hong Kong,109,2.19
34.118.123.8,443,443,true,FRA,Europe,Frankfurt,228,2.18
34.159.208.192,443,443,true,FRA,Europe,Frankfurt,220,2.16
138.2.163.163,443,443,true,FRA,Europe,Frankfurt,268,2.10
34.118.107.128,443,443,true,FRA,Europe,Frankfurt,213,2.09
34.118.122.1,443,443,true,FRA,Europe,Frankfurt,284,2.07
34.154.86.247,443,443,true,FRA,Europe,Frankfurt,196,2.04
193.31.26.74,443,443,true,FRA,Europe,Frankfurt,181,2.04
146.70.175.175,443,443,true,AMS,Europe,Amsterdam,199,2.04
34.147.50.37,443,443,true,FRA,Europe,Frankfurt,214,2.03
146.70.175.120,443,443,true,AMS,Europe,Amsterdam,190,2.01
185.233.82.10,443,443,true,VIE,Europe,Vienna,190,1.98
146.70.169.118,443,443,true,AMS,Europe,Amsterdam,209,1.97
146.70.175.182,443,443,true,AMS,Europe,Amsterdam,203,1.97
84.235.163.204,443,443,true,FRA,Europe,Frankfurt,313,1.95
35.246.157.28,443,443,true,FRA,Europe,Frankfurt,234,1.94
34.154.65.62,443,443,true,FRA,Europe,Frankfurt,292,1.92
34.116.252.47,443,443,true,FRA,Europe,Frankfurt,263,1.92
34.154.149.207,443,443,true,FRA,Europe,Frankfurt,245,1.91
34.118.46.218,443,443,true,FRA,Europe,Frankfurt,305,1.90
34.118.20.131,443,443,true,FRA,Europe,Frankfurt,229,1.89
34.65.128.135,443,443,true,FRA,Europe,Frankfurt,236,1.89
34.65.19.61,443,443,true,FRA,Europe,Frankfurt,236,1.86
146.70.175.122,443,443,true,AMS,Europe,Amsterdam,199,1.83
8.209.85.61,443,443,true,FRA,Europe,Frankfurt,239,1.80
158.101.204.223,443,443,true,FRA,Europe,Frankfurt,243,1.79
34.65.5.240,443,443,true,FRA,Europe,Frankfurt,235,1.78
34.118.68.230,443,443,true,FRA,Europe,Frankfurt,261,1.76
34.34.32.189,443,443,true,FRA,Europe,Frankfurt,203,1.76
64.226.94.33,443,443,true,FRA,Europe,Frankfurt,277,1.75
34.154.145.67,443,443,true,FRA,Europe,Frankfurt,229,1.72
152.70.58.179,443,443,true,FRA,Europe,Frankfurt,263,1.68
34.118.17.210,443,443,true,FRA,Europe,Frankfurt,263,1.68
34.118.60.206,443,443,true,FRA,Europe,Frankfurt,259,1.67
34.154.113.214,443,443,true,FRA,Europe,Frankfurt,262,1.67
158.180.39.249,443,443,true,FRA,Europe,Frankfurt,242,1.67
34.118.10.54,443,443,true,FRA,Europe,Frankfurt,268,1.66
34.154.191.97,443,443,true,FRA,Europe,Frankfurt,255,1.53
34.118.22.25,443,443,true,FRA,Europe,Frankfurt,244,1.50
95.164.62.152,443,443,true,AMS,Europe,Amsterdam,190,1.47
34.154.192.70,443,443,true,FRA,Europe,Frankfurt,234,1.46
34.116.189.137,443,443,true,FRA,Europe,Frankfurt,244,1.42
144.21.43.50,443,443,true,FRA,Europe,Frankfurt,291,1.41
104.168.125.192,443,443,true,ORD,North America,Chicago,249,1.40
146.70.175.164,443,443,true,AMS,Europe,Amsterdam,184,1.40
94.177.8.51,443,443,true,VIE,Europe,Vienna,262,1.40
34.154.169.50,443,443,true,FRA,Europe,Frankfurt,258,1.39
34.154.27.90,443,443,true,FRA,Europe,Frankfurt,227,1.37
34.116.207.43,443,443,true,FRA,Europe,Frankfurt,254,1.34
95.164.249.236,443,443,true,MAD,Europe,Madrid,308,1.31
130.162.184.194,443,443,true,FRA,Europe,Frankfurt,276,1.30
20.108.51.255,443,443,true,LHR,Europe,London,232,1.30
80.158.63.104,443,443,true,MXP,Europe,Milan,259,1.29
34.154.12.177,443,443,true,FRA,Europe,Frankfurt,236,1.29
168.119.107.110,443,443,true,FRA,Europe,Frankfurt,285,1.28
34.141.137.1,443,443,true,FRA,Europe,Frankfurt,241,1.27
172.93.165.228,443,443,true,SIN,Asia Pacific,Singapore,32,1.26
34.141.236.235,443,443,true,FRA,Europe,Frankfurt,273,1.25
34.116.200.169,443,443,true,FRA,Europe,Frankfurt,260,1.19
34.116.181.113,443,443,true,FRA,Europe,Frankfurt,270,1.18
147.45.72.18,443,443,true,AMS,Europe,Amsterdam,235,1.17
146.70.175.184,443,443,true,AMS,Europe,Amsterdam,188,1.17
47.254.152.128,443,443,true,FRA,Europe,Frankfurt,240,1.15
34.89.171.21,443,443,true,FRA,Europe,Frankfurt,234,1.12
138.3.240.98,443,443,true,FRA,Europe,Frankfurt,289,1.09
146.70.175.189,443,443,true,AMS,Europe,Amsterdam,183,1.09
34.32.237.103,443,443,true,FRA,Europe,Frankfurt,245,1.09
